0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.0242048	0	0	0	0	0	0	0	0	0	0.263362	0	0	0	0	0	0
0	0	1.34563	0	2.623	0	0	0	0	0.302498	0	0	1.26456	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0.0203797	0	0	0.41757	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	21.6639	0	0	1.28105	0	0	0
0	0	0	4.29519	0.0510785	0	0	0	0	0.0863737	0	5.56811	0.0526753	0.201572	0	0	0.102824	0	0.283796	0
0	0	2.40179	0	0	0	0	0	0	0	0	0	0	0.87676	0	0	0.862874	0	0	0
0.0879525	0.24157	0.288028	0	0	0	0.091721	0	7.32962	0.118004	0.0829749	0.0892879	0	0.00211038	0.145866	0.242722	0.0952242	4.43554	0.209941	0
0	0	0.0239394	0	0	0	7.46577	0	0	0.0014095	0	0	0	0	0	0	0	0	0	0
0	3.05065	0	0	0	0	0	0	0	0	0	0	10.6482	0	2.1138	0	0	0	0	0
12.0377	0	0	0	0.626477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.91491	0	0	0	0	0	0	0	0	0	0	7.67623	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1.26308	0.319147	0	0	0	0	0	18.9729	0	0
0.0323939	0.134271	1.5614	0.170253	0	0	0.00921792	0.0819919	0	0.0103288	0	0	0	0.884	0.127257	0	0.00957066	0	0.0112051	0.018845
0	0	0.0218544	0.0153883	10.4687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.413842	0	0.411902	1.54721	4.49	0	0.258545	0	0.0845352	0	0.339967	0.0436746	0	0.0362304	0.361425	0	0.164185	0	2.96197	0
0	0	0	0	2.91247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1.76476	0	0	0.234964	0.837876	0.0608436	1.43411	0	1.56123	13.8312	0	0.00590485	0.427365	0.582715	1.04521	0.459959	0.0362589	0
0.494833	0	0	0	6.47184	0	0	0	0	0	0	0	6.21437	0	0	0	0	0	0	0
0	0	0	0.0319913	0	5.07797	0	0.0288538	0	0	0	0	0	0	0	0	0	0	0	0.22871
0	0	0	0	0	0	0.121274	0	0	0	0	0	0.00801812	0	0	0	0	0	0	0
0	0	0	0	4.30221	0	0	0	0	0	8.18262	0	0	0	0	0	0	0	0	0
0	0	2.23502	0	0	0	0	0	0	0	0	0	0	0	0.606259	0	0.548003	0	0	0
0	0	0	0	0	0.626434	0	0	0	0.190275	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.0391783	0	0	0	0.191429	0.00116524	0	0	0	0	0	0	0	0	0	0
1.97761	0	0	0	0	0	1.33195	0	0	0	0	9.63945	0	0	0	0	0	0	0	0
0	0	0	0	42.1922	2.18687	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	23.0185	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.29843	0	0	1.17951	0	3.59941
0	0	0	0	0	0	0	0	0	0	0	0	0.0906224	0.0590702	0.521933	0	0	0	0	0
16.9964	0.33695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	24.3709	0	0	0	0	0	0
0	0	0	0	0	0.105952	0	0	0	0	0.778892	0	0.0187264	0	0	0	0	0	0	0
1.69834	0	0	0	0	1.11949	0	0	0	0	0	0	0	0	0	0	0.563275	0	0	0
0	0	0.843523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15773
0.285511	0	26.445	0.0951618	0.00493532	1.31124	0	0.858947	1.3327	0	0.611312	0.734388	0	2.94268	0	1.21008	1.41027	1.27367	0.378645	0
0	0.206173	0	0	0	0	0.0438259	0	0	0	0	0	0	0	0	0.170436	0	0	0	0
0	0	0	0	3.01343	0	0.217369	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	3.93655	0	0	0	0.0877043	0	0	1.58661	0	0	0.960321	0	0	0	0
0	0	0	2.13673	0	0	0	0	8.39121	0	0	0	0	0.737311	0	0	0	0	0	0
0	0	0	0	0	0.336848	0	0	0.562676	0	0	0	0	0	0	0.250221	0	0	0	2.80664
0	0	0	0	0	0.19449	0	0	0	0	0	0	0.969241	0	0	0.0987881	0	0	0	0
0	0.0118768	0	0.0419717	35.3621	31.2949	0	0.0223385	0	0.034087	0	0	0	0	0	0	0	0.789041	0.0122308	0.128786
0	0	0	0.00225586	0	0	0	0	0	0	0	0	0	23.2766	0	0	0	0	0	0.573012
0	0	0	0	0	0.948302	0	0	0	0	0	0	0	0	0	11.1312	0	0	0	0
0	0	0	0	0	0	0.371318	0	0	0	0.000129612	0	0	0	0	0.141515	0	0	0	0
0	4.76559	0	0	0	0	0	0	0	0	0	0	0.192815	0.17267	0	0	0	0	0	0
0	0	0	0	0	16.2741	0	0	0	0	0	0	0	0	0	0.390122	0	0	0	0.185861
0	0	0	0	0	0	0.0235125	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2.59569	0	0	0	0.00323465	0	0	0	0	0	0	0.174539	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	15.7788	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.0192855	0	0	0	0	0	2.12277	0	0	0	0	0	0	2.57023	0
0.00833869	0.491675	0	0	0	0	0	0	6.88556	0	0	0	0	0	0.134662	0.549369	0	0	0.164081	0
0	0	0.302684	0	0.433963	0	0	0	0	0	0	0	0.193045	0	0	0	0	0	0	0
0.0297592	0	0	0.047999	0.0278723	0.0186691	0	0.039716	0.0638874	0	14.4062	0.0483679	0	0	0	0.00974424	0.0462272	0.0343486	0.0231782	2.99269
0	0	0	0	0	0	0	0	0	0	0	16.0286	0	0	0	0	0	9.44289	0	7.24223
0	0	0.409627	0	0.161549	0	0	0	0	0	28.6711	0	0.608589	0	0	0	0	0	0	0.0678052
0	0	0	0	0	4.87442	0	25.8028	0	0	0	0	0	0	0	5.20217	0	0.0396659	0	0
0	7.29628	0	0.0576164	0	0	0	0	0	0	0.0846912	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	3.67905	0	0	0	0.399519	0	0	0	0	0	0	0
0	0	49.141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	2.9469	0	0	0	0	0	0	0	0	0	0	0	14.602	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	12.2618	20.3698	0	0	0	0	14.3411	0	0	0
